Time(s),Frequency(Hz),RPM
0.00,0.00,30.45
0.10,0.00,82.88
0.20,0.00,130.53
0.30,0.00,173.89
0.40,0.00,213.00
0.50,0.00,248.01
0.60,0.00,279.59
40.70,0.00,308.09
0.80,0.00,333.85
0.90,0.00,357.03
1.00,0.00,377.86
1.10,0.00,396.80
1.20,0.00,413.46
1.30,0.00,428.53
1.40,0.00,442.36
1.50,0.00,454.66
1.60,0.00,465.65
1.70,0.00,475.32
1.80,0.00,484.28
1.90,0.00,492.20
2.00,0.00,499.51
2.10,0.00,505.94
2.20,0.00,511.99
2.30,0.00,517.36
2.40,0.00,522.16
2.50,0.00,526.48
2.60,0.00,530.51
2.70,0.00,533.99
2.80,0.00,537.16
2.90,20.00,539.91
3.00,20.05,542.33
3.10,20.10,544.86
3.20,20.15,547.17
3.30,20.20,549.29
3.40,20.25,551.34
3.50,20.30,553.23
3.60,20.35,555.35
3.70,20.40,556.95
3.80,20.45,558.61
03.90,20.50,560.68
24.00,20.55,562.28
44.10,20.60,564.16
54.20,20.65,565.86
74.30,20.70,567.69
94.40,20.75,569.42
4.50,20.80,570.85
4.60,20.85,572.52
4.70,20.90,574.29
4.80,20.95,575.92
4.90,21.00,577.46
5.00,21.05,578.92
5.10,21.10,580.24
5.20,21.15,581.80
5.30,21.20,583.47
5.40,21.25,584.82
5.50,21.30,586.30
5.60,21.35,587.75
5.70,21.40,589.27
5.80,21.45,590.65
5.90,21.50,592.15
6.00,21.55,593.50
6.10,21.60,594.98
6.20,21.65,596.23
6.30,21.70,597.74
6.40,21.75,599.06
6.50,21.80,600.21
6.60,21.85,601.47
6.70,21.90,602.87
6.80,21.95,604.13
6.90,22.00,605.56
7.00,22.05,607.08
7.10,22.10,608.48
7.20,22.15,610.04
7.30,22.20,611.34
7.40,22.25,612.92
7.50,22.30,614.42
7.60,22.35,615.54
7.70,22.40,616.96
7.80,22.45,618.47
7.90,22.50,619.79
8.00,22.55,621.01
8.10,22.60,622.42
8.20,22.65,623.64
8.30,22.70,624.74
8.40,22.75,625.93
8.50,22.80,627.10
8.60,22.85,628.50
8.70,22.90,629.68
8.80,22.95,631.16
8.90,23.00,632.49
9.00,23.05,633.95
9.10,23.10,635.46
9.20,23.15,636.77
9.30,23.20,638.15
9.40,23.25,639.42
9.50,23.30,640.98
9.60,23.35,642.46
9.70,23.40,643.72
9.80,23.45,645.04
9.90,23.50,646.11
10.00,23.55,647.57
10.10,23.60,648.84
10.20,23.65,650.48
10.30,23.70,652.10
10.40,23.75,653.37
10.50,23.80,654.86
10.60,23.85,656.27
10.70,23.90,657.58
10.80,23.95,658.98
10.90,24.00,660.24
11.00,24.05,661.38
11.10,24.10,662.82
11.20,24.15,664.41
11.30,24.20,665.66
11.40,24.25,666.89
11.50,24.30,668.16
11.60,24.35,669.37
11.70,24.40,670.38
11.80,24.45,671.64
11.90,24.50,672.99
12.00,24.55,674.10
12.10,24.60,675.58
12.20,24.65,676.73
12.30,24.70,677.80
12.40,24.75,679.22
12.50,24.80,680.41
12.60,24.85,681.72
12.70,24.90,683.23
12.80,24.95,684.63
12.90,25.00,686.08
13.00,25.05,687.16
13.10,25.10,688.39
13.20,25.15,690.11
13.30,25.20,691.50
13.40,25.25,692.45
13.50,25.30,693.76
13.60,25.35,695.08
13.70,25.40,696.39
13.80,25.45,697.80
13.90,25.50,699.13
14.00,25.55,700.08
14.10,25.60,701.45
14.20,25.65,702.84
14.30,25.70,704.12
14.40,25.75,705.70
14.50,25.80,707.11
14.60,25.85,708.12
14.70,25.90,709.41
14.80,25.95,710.98
14.90,26.00,712.21
15.00,26.05,713.61
15.10,26.10,714.57
15.20,26.15,715.82
15.30,26.20,717.24
15.40,26.25,718.74
15.50,26.30,720.10
15.60,26.35,721.05
15.70,26.40,722.14
15.80,26.45,723.72
15.90,26.50,724.76
16.00,26.55,726.01
16.10,26.60,727.43
16.20,26.65,729.12
16.30,26.70,730.56
16.40,26.75,731.98
16.50,26.80,733.29
16.60,26.85,734.62
16.70,26.90,735.78
16.80,26.95,737.09
16.90,27.00,738.50
17.00,27.05,739.76
17.10,27.10,741.39
17.20,27.15,742.55
17.30,27.20,743.60
17.40,27.25,744.80
17.50,27.30,746.26
17.60,27.35,747.09
17.70,27.40,748.51
17.80,27.45,750.21
17.90,27.50,751.39
18.00,27.55,752.68
18.10,27.60,753.85
18.20,27.65,755.23
18.30,27.70,756.63
18.40,27.75,757.67
18.50,27.80,758.97
18.60,27.85,760.45
18.70,27.90,761.59
18.80,27.95,762.69
18.90,28.00,763.80
19.00,28.05,764.94
19.10,28.10,765.97
19.20,28.15,766.79
19.30,28.20,767.82
19.40,28.25,769.02
19.50,28.30,770.09
19.60,28.35,771.70
19.70,28.40,773.19
19.80,28.45,774.52
19.90,28.50,776.22
20.00,28.55,777.44
20.10,28.60,778.50
20.20,28.65,779.91
20.30,28.70,781.03
20.40,28.75,782.34
20.50,28.80,783.85
20.60,28.85,784.65
20.70,28.90,785.67
20.80,28.95,787.04
20.90,29.00,788.31
21.00,29.05,789.49
21.10,29.10,791.23
21.20,29.15,792.39
21.30,29.20,793.69
21.40,29.25,795.20
21.50,29.30,796.52
21.60,29.35,797.75
21.70,29.40,798.97
21.80,29.45,800.29
21.90,29.50,801.63
22.00,29.55,802.68
22.10,29.60,803.52
22.20,29.65,804.91
22.30,29.70,806.06
22.40,29.75,806.90
22.50,29.80,807.88
22.60,29.85,808.95
22.70,29.90,809.84
22.80,29.95,811.20
22.90,30.00,812.36
23.00,30.05,813.88
23.10,30.10,815.07
023.20,30.15,816.48
123.30,30.20,817.59
223.40,30.25,818.83
423.50,30.30,820.23
523.60,30.35,821.13
623.70,30.40,822.08
723.80,30.45,823.20
823.90,30.50,824.13
824.00,30.55,824.94
24.10,30.60,826.26
24.20,30.65,827.45
24.30,30.70,828.49
24.40,30.75,829.50
24.50,30.80,830.29
24.60,30.85,831.08
24.70,30.90,831.98
24.80,30.95,833.85
24.90,31.00,835.00
25.00,31.05,835.54
25.10,31.10,837.05
25.20,31.15,837.84
25.30,31.20,838.93
25.40,31.25,839.08
25.50,31.30,839.86
25.60,31.35,841.13
25.70,31.40,842.61
25.80,31.45,843.75
25.90,31.50,844.66
26.00,31.55,845.90
26.10,31.60,846.75
26.20,31.65,848.08
26.30,31.70,848.94
26.40,31.75,850.31
26.50,31.80,851.93
26.60,31.85,853.15
26.70,31.90,854.41
26.80,31.95,854.75
26.90,32.00,856.11
27.00,32.05,857.59
27.10,32.10,859.27
27.20,32.15,860.33
27.30,32.20,860.60
27.40,32.25,862.36
27.50,32.30,863.44
27.60,32.35,864.95
27.70,32.40,865.86
27.80,32.45,866.93
27.90,32.50,867.83
28.00,32.55,868.48
28.10,32.60,868.92
28.20,32.65,870.63
28.30,32.70,871.35
28.40,32.75,872.70
28.50,32.80,874.00
28.60,32.85,874.87
28.70,32.90,875.91
28.80,32.95,877.15
28.90,33.00,877.67
29.00,33.05,878.20
29.10,33.10,879.52
29.20,33.15,881.30
29.30,33.20,882.64
29.40,33.25,883.66
29.50,33.30,885.07
29.60,33.35,886.34
29.70,33.40,887.51
29.80,33.45,888.05
29.90,33.50,889.62
30.00,33.55,889.72
30.10,33.60,890.48
30.20,33.65,891.09
30.30,33.70,891.57
30.40,33.75,893.24
30.50,33.80,894.03
30.60,33.85,895.34
30.70,33.90,897.01
30.80,33.95,898.14
30.90,34.00,899.50
31.00,34.05,900.23
31.10,34.10,900.81
31.20,34.15,901.44
31.30,34.20,902.24
31.40,34.25,904.20
31.50,34.30,905.36
31.60,34.35,905.17
31.70,34.40,905.48
31.80,34.45,906.78
31.90,34.50,908.59
32.00,34.55,910.18
32.10,34.60,910.74
32.20,34.65,911.25
32.30,34.70,912.77
32.40,34.75,913.79
32.50,34.80,915.16
32.60,34.85,916.36
32.70,34.90,917.36
32.80,34.95,918.38
32.90,35.00,919.10
33.00,35.05,919.98
33.10,35.10,920.77
33.20,35.15,922.20
33.30,35.20,923.41
33.40,35.25,924.50
33.50,35.30,925.06
33.60,35.35,926.70
33.70,35.40,928.48
33.80,35.45,928.95
33.90,35.50,929.67
34.00,35.55,930.92
34.10,35.60,931.90
34.20,35.65,932.82
34.30,35.70,933.31
34.40,35.75,934.42
34.50,35.80,935.96
34.60,35.85,936.81
34.70,35.90,938.18
34.80,35.95,939.75
34.90,36.00,940.11
35.00,36.05,940.88
35.10,36.10,942.15
35.20,36.15,943.28
35.30,36.20,944.53
35.40,36.25,945.17
35.50,36.30,945.97
35.60,36.35,946.83
35.70,36.40,947.77
35.80,36.45,948.87
35.90,36.50,949.30
36.00,36.55,950.06
36.10,36.60,951.65
36.20,36.65,952.36
36.30,36.70,953.08
36.40,36.75,954.22
36.50,36.80,954.75
36.60,36.85,956.17
36.70,36.90,956.74
36.80,36.95,958.52
36.90,37.00,959.83
37.00,37.05,961.69
37.10,37.10,963.10
37.20,37.15,963.95
37.30,37.20,964.64
37.40,37.25,966.13
37.50,37.30,967.80
37.60,37.35,968.79
37.70,37.40,969.56
37.80,37.45,971.72
37.90,37.50,972.01
38.00,37.55,972.88
38.10,37.60,974.37
38.20,37.65,974.77
38.30,37.70,975.81
38.40,37.75,976.60
38.50,37.80,978.02
38.60,37.85,979.08
38.70,37.90,979.80
38.80,37.95,980.75
38.90,38.00,981.72
39.00,38.05,981.99
39.10,38.10,983.21
39.20,38.15,984.13
39.30,38.20,984.27
39.40,38.25,985.42
39.50,38.30,986.56
39.60,38.35,987.55
39.70,38.40,987.84
39.80,38.45,989.12
39.90,38.50,990.38
40.00,38.55,991.07
40.10,38.60,992.36
40.20,38.65,993.91
40.30,38.70,995.52
40.40,38.75,996.82
40.50,38.80,997.66
40.60,38.85,998.74
40.70,38.90,999.16
40.80,38.95,1000.63
40.90,39.00,1001.76
41.00,39.05,1002.51
41.10,39.10,1003.53
41.20,39.15,1003.61
41.30,39.20,1005.13
41.40,39.25,1006.41
41.50,39.30,1007.87
41.60,39.35,1009.86
41.70,39.40,1011.46
41.80,39.45,1011.96
41.90,39.50,1011.96
42.00,39.55,1013.46
42.10,39.60,1014.33
42.20,39.65,1013.63
42.30,39.70,1013.99
42.40,39.75,1015.03
42.50,39.80,1016.57
42.60,39.85,1017.80
42.70,39.90,1018.87
42.80,39.95,1019.61
42.90,40.00,1020.88
43.00,40.05,1021.83
43.10,40.10,1022.57
43.20,40.15,1022.98
43.30,40.20,1023.57
43.40,40.25,1024.18
43.50,40.30,1025.25
43.60,40.35,1025.47
43.70,40.40,1026.41
43.80,40.45,1027.38
43.90,40.50,1028.77
44.00,40.55,1029.69
44.10,40.60,1030.70
44.20,40.65,1031.69
44.30,40.70,1033.67
44.40,40.75,1035.95
44.50,40.80,1036.63
44.60,40.85,1037.29
44.70,40.90,1038.86
44.80,40.95,1039.49
44.90,41.00,1040.54
45.00,41.05,1041.41
45.10,41.10,1042.34
45.20,41.15,1042.32
45.30,41.20,1042.97
45.40,41.25,1043.75
45.50,41.30,1044.07
45.60,41.35,1044.78
45.70,41.40,1045.94
45.80,41.45,1046.84
45.90,41.50,1047.38
46.00,41.55,1048.02
46.10,41.60,1049.35
46.20,41.65,1050.17
46.30,41.70,1051.51
46.40,41.75,1052.71
46.50,41.80,1054.25
46.60,41.85,1055.03
46.70,41.90,1055.55
46.80,41.95,1056.39
46.90,42.00,1057.18
47.00,42.05,1057.97
47.10,42.10,1059.06
47.20,42.15,1060.56
47.30,42.20,1061.84
47.40,42.25,1062.69
47.50,42.30,1063.69
47.60,42.35,1064.58
47.70,42.40,1065.38
47.80,42.45,1066.71
47.90,42.50,1067.75
48.00,42.55,1068.31
48.10,42.60,1069.12
48.20,42.65,1069.69
48.30,42.70,1070.97
048.40,42.75,1072.26
48.50,42.80,1071.54
48.60,42.85,1070.90
048.70,42.90,1072.20
048.80,42.95,1072.35
48.90,43.00,1071.85
049.00,43.05,1072.34
049.10,43.10,1072.67
149.20,43.15,1073.23
249.30,43.20,1074.98
449.40,43.25,1076.96
749.50,43.30,1079.39
849.60,43.35,1080.26
849.70,43.40,1080.14
649.80,43.45,1078.93
949.90,43.50,1081.77
50.00,43.55,1084.02
50.10,43.60,1085.70
50.20,43.65,1087.41
50.30,43.70,1088.04
50.40,43.75,1088.99
50.50,43.80,1089.72
50.60,43.85,1090.08
50.70,43.90,1090.15
50.80,43.95,1090.54
50.90,44.00,1091.39
51.00,44.05,1091.77
51.10,44.10,1092.64
51.20,44.15,1093.13
51.30,44.20,1094.24
51.40,44.25,1094.19
51.50,44.30,1094.41
51.60,44.35,1095.51
51.70,44.40,1096.19
51.80,44.45,1096.59
51.90,44.50,1097.66
52.00,44.55,1098.70
52.10,44.60,1099.14
52.20,44.65,1099.50
52.30,44.70,1100.24
52.40,44.75,1100.57
52.50,44.80,1101.36
52.60,44.85,1101.76
52.70,44.90,1102.61
52.80,44.95,1103.01
52.90,45.00,1103.74
53.00,45.05,1104.84
53.10,45.10,1105.96
53.20,45.15,1106.73
53.30,45.20,1107.31
53.40,45.25,1108.25
53.50,45.30,1108.49
53.60,45.35,1109.99
53.70,45.40,1110.97
53.80,45.45,1111.58
53.90,45.50,1113.22
54.00,45.55,1113.61
54.10,45.60,1114.37
54.20,45.65,1115.28
54.30,45.70,1116.48
54.40,45.75,1116.84
54.50,45.80,1118.26
54.60,45.85,1118.94
54.70,45.90,1119.84
54.80,45.95,1119.94
54.90,46.00,1120.53
55.00,46.05,1121.31
55.10,46.10,1121.42
55.20,46.15,1121.81
55.30,46.20,1122.81
55.40,46.25,1122.58
55.50,46.30,1122.63
55.60,46.35,1122.75
55.70,46.40,1123.62
55.80,46.45,1124.25
55.90,46.50,1125.08
56.00,46.55,1125.90
56.10,46.60,1126.52
56.20,46.65,1127.31
56.30,46.70,1127.50
56.40,46.75,1128.72
56.50,46.80,1129.29
56.60,46.85,1129.65
56.70,46.90,1130.84
56.80,46.95,1131.47
56.90,47.00,1131.76
57.00,47.05,1130.93
57.10,47.10,1130.87
57.20,47.15,1132.51
57.30,47.20,1133.53
57.40,47.25,1134.63
57.50,47.30,1134.69
57.60,47.35,1134.43
57.70,47.40,1135.30
57.80,47.45,1136.57
57.90,47.50,1138.54
58.00,47.55,1140.16
58.10,47.60,1141.78
58.20,47.65,1141.83
58.30,47.70,1143.28
58.40,47.75,1143.94
58.50,47.80,1144.49
58.60,47.85,1146.43
58.70,47.90,1146.20
58.80,47.95,1146.65
58.90,48.00,1147.27
59.00,48.05,1147.87
59.10,48.10,1148.52
59.20,48.15,1148.02
59.30,48.20,1148.73
59.40,48.25,1148.58
59.50,48.30,1148.67
59.60,48.35,1148.91
59.70,48.40,1148.78
59.80,48.45,1148.85
59.90,48.50,1149.40
60.00,48.55,1149.30
60.10,48.60,1149.32
60.20,48.65,1149.71
60.30,48.70,1150.07
60.40,48.75,1151.11
60.50,48.80,1152.19
60.60,48.85,1152.22
60.70,48.90,1153.23
60.80,48.95,1153.46
60.90,49.00,1153.97
61.00,49.05,1154.73
61.10,49.10,1154.96
61.20,49.15,1155.50
61.30,49.20,1155.51
61.40,49.25,1155.81
